Country,Clicks,Impressions,CTR,Position
United States,1,832,0.12%,73.49
India,1,35,2.86%,61.34
Argentina,1,5,20%,81
Uganda,1,1,100%,96
United Kingdom,0,1412,0%,74.8
Philippines,0,339,0%,76.7
South Africa,0,160,0%,72.56
Australia,0,133,0%,65.14
Singapore,0,116,0%,71.86
Canada,0,105,0%,67.81
Brazil,0,84,0%,70.4
Vietnam,0,64,0%,71.47
New Zealand,0,52,0%,74.85
Malaysia,0,50,0%,72.58
Israel,0,46,0%,66.26
Egypt,0,38,0%,70.26
Germany,0,37,0%,66.65
Netherlands,0,28,0%,64.89
Ireland,0,27,0%,70.37
Switzerland,0,25,0%,66.32
Thailand,0,24,0%,66.12
Italy,0,24,0%,69.5
Hong Kong,0,24,0%,71.33
United Arab Emirates,0,23,0%,68.83
Spain,0,17,0%,56.47
Romania,0,17,0%,65.53
France,0,16,0%,53.25
Sweden,0,16,0%,68.25
Indonesia,0,14,0%,50.79
Denmark,0,14,0%,59.5
Colombia,0,14,0%,71.86
Saudi Arabia,0,13,0%,66.15
Turkey,0,12,0%,71.17
Kenya,0,11,0%,67.27
Bangladesh,0,11,0%,71.36
Russia,0,10,0%,60
Mexico,0,10,0%,84.1
Norway,0,9,0%,59.22
Greece,0,8,0%,70.38
South Korea,0,8,0%,77.75
Pakistan,0,7,0%,57.86
Finland,0,7,0%,79
Japan,0,6,0%,44.33
Portugal,0,6,0%,59.17
Chile,0,6,0%,67.17
Myanmar (Burma),0,5,0%,63.2
Sri Lanka,0,5,0%,69
Austria,0,5,0%,78
Ghana,0,4,0%,49.25
Moldova,0,4,0%,59.25
Bahrain,0,4,0%,70.75
Slovakia,0,4,0%,71.5
Belgium,0,4,0%,76.5
Bulgaria,0,4,0%,77.25
Peru,0,4,0%,78.75
Ecuador,0,4,0%,80
Trinidad & Tobago,0,4,0%,83
Poland,0,3,0%,55.67
Lithuania,0,3,0%,66.33
Algeria,0,3,0%,67
Taiwan,0,3,0%,72.33
Kazakhstan,0,3,0%,72.67
Czechia,0,3,0%,76
Belize,0,3,0%,81.33
Zambia,0,3,0%,83.33
Costa Rica,0,2,0%,36.5
Oman,0,2,0%,48
Morocco,0,2,0%,62
Cambodia,0,2,0%,64
Nigeria,0,2,0%,66
Malta,0,2,0%,69.5
Serbia,0,2,0%,70.5
Venezuela,0,2,0%,77.5
Libya,0,2,0%,78
Ukraine,0,2,0%,81
Bolivia,0,2,0%,81.5
Tunisia,0,2,0%,93
Jersey,0,1,0%,9
Ethiopia,0,1,0%,10
Croatia,0,1,0%,10
Cameroon,0,1,0%,11
Kyrgyzstan,0,1,0%,12
Western Sahara,0,1,0%,29
Qatar,0,1,0%,62
Burkina Faso,0,1,0%,64
Mozambique,0,1,0%,65
Iceland,0,1,0%,70
Botswana,0,1,0%,73
Estonia,0,1,0%,73
Belarus,0,1,0%,74
Cyprus,0,1,0%,75
Nepal,0,1,0%,75
Macedonia,0,1,0%,76
Senegal,0,1,0%,76
Bahamas,0,1,0%,77
Angola,0,1,0%,89
