Top pages,Clicks,Impressions,CTR,Position
https://mykit.tools/betting-odds-calculator,1,146,0.68%,77.75
https://mykit.tools/reading-level-checker,1,23,4.35%,77.87
https://mykit.tools/red-flags-quiz,1,12,8.33%,51.67
https://mykit.tools/pop-star-name-generator,1,5,20%,25
https://mykit.tools/grams-to-cups,0,325,0%,80.89
https://mykit.tools/cups-to-grams-butter,0,303,0%,64.93
https://mykit.tools/mortgage-affordability-calculator,0,254,0%,90.53
https://mykit.tools/cm-to-inches,0,217,0%,77.05
https://mykit.tools/emotional-intelligence-quiz,0,213,0%,86.61
https://mykit.tools/cups-to-ml,0,210,0%,69.62
https://mykit.tools/uk-buy-to-let-calculator,0,163,0%,91.14
https://mykit.tools/hourly-to-salary,0,129,0%,68.88
https://mykit.tools/ml-to-cups,0,122,0%,65.84
https://mykit.tools/uk-self-assessment-estimator,0,114,0%,71.76
https://mykit.tools/concrete-calculator,0,110,0%,83.6
https://mykit.tools/gb-to-mb,0,94,0%,62.24
https://mykit.tools/bingo-card-generator,0,84,0%,85.6
https://mykit.tools/mixed-numbers-calculator,0,77,0%,65.43
https://mykit.tools/pay-rise-calculator,0,73,0%,20.59
https://mykit.tools/square-footage-calculator,0,70,0%,64.09
https://mykit.tools/miles-to-steps,0,66,0%,56
https://www.mykit.tools/tbsp-to-ml,0,65,0%,74.55
https://mykit.tools/miles-to-km,0,61,0%,75.28
https://mykit.tools/uk-capital-gains-tax-calculator,0,59,0%,75.02
https://mykit.tools/calorie-deficit-calculator,0,56,0%,83.21
https://mykit.tools/narcissism-test,0,55,0%,78.29
https://mykit.tools/kg-to-stone,0,53,0%,34.43
https://mykit.tools/percent-change-calculator,0,51,0%,76.12
https://mykit.tools/loan-repayment-calculator,0,50,0%,86.02
https://mykit.tools/oven-temperature-converter,0,47,0%,68.68
https://mykit.tools/psi-to-bar,0,43,0%,75.79
https://mykit.tools/wedding-seating-planner,0,40,0%,71.2
https://mykit.tools/mb-to-gb,0,32,0%,65.41
https://mykit.tools/swim-pace-calculator,0,26,0%,16.08
https://mykit.tools/percentage-difference-calculator,0,25,0%,65.72
https://www.mykit.tools/stone-to-lbs,0,23,0%,61.17
https://mykit.tools/ml-to-tsp,0,22,0%,64.23
https://mykit.tools/paint-calculator,0,22,0%,79.95
https://mykit.tools/running-training-plan,0,21,0%,51.24
https://mykit.tools/recipe-unit-converter,0,21,0%,70.33
https://mykit.tools/days-until-calculator,0,18,0%,66
https://mykit.tools/kph-to-mph,0,17,0%,60.24
https://mykit.tools/kg-to-lbs,0,17,0%,74.82
https://mykit.tools/cups-to-grams-oats,0,16,0%,44.25
https://mykit.tools/oz-to-ml,0,16,0%,65.69
https://mykit.tools/debt-snowball-calculator,0,16,0%,66.56
https://mykit.tools/metres-to-feet,0,16,0%,75.88
https://mykit.tools/citation-generator,0,15,0%,68.8
https://mykit.tools/secret-santa-generator,0,14,0%,59
https://mykit.tools/oz-to-grams,0,13,0%,67
https://mykit.tools/font-pair-suggester,0,13,0%,72.31
https://mykit.tools/handwriting-practice-sheet,0,13,0%,74.62
https://mykit.tools/mph-to-kph,0,13,0%,75.31
https://mykit.tools/fence-calculator,0,13,0%,88.77
https://mykit.tools/tyre-size-calculator,0,12,0%,78.42
https://mykit.tools/inflation-calculator,0,11,0%,74
https://mykit.tools/wifi-qr-generator,0,11,0%,79.91
https://mykit.tools/tsp-to-ml,0,11,0%,80.36
https://mykit.tools/psi-to-atm,0,10,0%,52.4
https://mykit.tools/how-common-is-your-name,0,10,0%,62.1
https://mykit.tools/heart-rate-zone-calculator,0,10,0%,71.8
https://mykit.tools/gb-to-tb,0,9,0%,61
https://mykit.tools/communication-style-quiz,0,9,0%,69.11
https://mykit.tools/tbsp-to-ml,0,9,0%,71
https://mykit.tools/uk-tax-calculator,0,9,0%,80.44
https://mykit.tools/calories-to-joules,0,8,0%,62
https://mykit.tools/wedding-budget-calculator,0,8,0%,62
https://mykit.tools/meta-tag-previewer,0,8,0%,76.5
https://mykit.tools/tv-size-calculator,0,7,0%,34.14
https://mykit.tools/coin-flip,0,7,0%,56.43
https://mykit.tools/standard-deviation-calculator,0,7,0%,74.86
https://mykit.tools/cups-to-grams,0,7,0%,77
https://mykit.tools/chore-chart-generator,0,6,0%,32
https://mykit.tools/packing-list-generator,0,6,0%,49.67
https://mykit.tools/wallpaper-calculator,0,6,0%,74.83
https://mykit.tools/word-scramble-generator,0,6,0%,80
https://mykit.tools/hz-to-khz,0,5,0%,28.6
https://mykit.tools/whitespace-remover,0,5,0%,59.6
