Country,Clicks,Impressions,CTR,Position
United Kingdom,0,180,0%,67.78
United States,0,138,0%,26.8
Australia,0,58,0%,35.52
Canada,0,29,0%,6.07
India,0,12,0%,20.33
Germany,0,9,0%,10.78
South Korea,0,8,0%,6
China,0,7,0%,5.14
France,0,7,0%,7.29
Brazil,0,7,0%,18.14
Russia,0,6,0%,6.33
Japan,0,6,0%,7.17
Spain,0,6,0%,32.83
Netherlands,0,5,0%,9.6
United Arab Emirates,0,5,0%,46
Angola,0,4,0%,13.75
Malaysia,0,4,0%,17
Indonesia,0,3,0%,7
Denmark,0,2,0%,1
Taiwan,0,2,0%,3.5
Belarus,0,2,0%,4
Belgium,0,2,0%,4.5
Philippines,0,2,0%,5
Nigeria,0,2,0%,6
Vietnam,0,2,0%,6.5
Bangladesh,0,2,0%,7
Turkey,0,2,0%,7.5
Egypt,0,2,0%,8
Italy,0,2,0%,8
Morocco,0,2,0%,8
Czechia,0,2,0%,29.5
Colombia,0,2,0%,36
Poland,0,2,0%,50.5
Botswana,0,1,0%,1
Iran,0,1,0%,1
Sweden,0,1,0%,3
Cuba,0,1,0%,4
Venezuela,0,1,0%,4
Austria,0,1,0%,5
Congo - Kinshasa,0,1,0%,5
Algeria,0,1,0%,5
Ireland,0,1,0%,5
Jamaica,0,1,0%,5
Lithuania,0,1,0%,5
Mexico,0,1,0%,5
Ukraine,0,1,0%,5
Armenia,0,1,0%,6
Hungary,0,1,0%,6
New Zealand,0,1,0%,6
Peru,0,1,0%,6
Romania,0,1,0%,6
Slovenia,0,1,0%,6
Switzerland,0,1,0%,7
Cameroon,0,1,0%,8
Curaçao,0,1,0%,9
Hong Kong,0,1,0%,10
Pakistan,0,1,0%,10
Somalia,0,1,0%,11
Myanmar (Burma),0,1,0%,80
Cyprus,0,1,0%,96
