Country,Clicks,Impressions,CTR,Position
United Kingdom,0,313,0%,82.18
United States,0,111,0%,79.54
Australia,0,63,0%,83.6
Canada,0,59,0%,86.37
Brazil,0,7,0%,84.14
India,0,5,0%,54
New Zealand,0,5,0%,70.4
Netherlands,0,3,0%,80.67
Spain,0,2,0%,74
Germany,0,2,0%,89
Czechia,0,2,0%,90
Italy,0,1,0%,3
Pakistan,0,1,0%,6
Indonesia,0,1,0%,38
Romania,0,1,0%,44
Fiji,0,1,0%,48
Kenya,0,1,0%,49
Montenegro,0,1,0%,50
Albania,0,1,0%,73
Taiwan,0,1,0%,75
Nepal,0,1,0%,81
Israel,0,1,0%,87
Sweden,0,1,0%,89
Austria,0,1,0%,98
