slug,name,category,tier,description,date_added,last_tested
uk-tax-calculator,UK Tax Calculator,finance,1,"Calculate your take-home pay after income tax, National Insurance, student loan repayments and pension contributions for the 2026/27 tax year",2026-03-11,2026-03-11
vat-calculator,VAT Calculator,finance,2,"Add or remove VAT from any amount instantly. Supports UK standard (20%), reduced (5%) and zero rates. Shows the full net + VAT = gross breakdown.",2026-03-11,2026-03-11
kg-to-lbs,Kg to Lbs Converter,converters,3,Quickly convert kilograms to pounds with our free converter. Includes a reference table of common kg to lbs conversions.,2026-03-11,2026-03-11
lbs-to-kg,Lbs to Kg Converter,converters,3,Convert pounds to kilograms instantly. Free online lbs to kg converter with common conversion reference table.,2026-03-11,2026-03-11
stone-to-kg,Stone to Kg Converter,converters,3,Convert stone to kilograms with our free tool. Includes a handy reference table for common stone to kg conversions.,2026-03-11,2026-03-11
kg-to-stone,Kg to Stone Converter,converters,3,Convert kilograms to stone instantly. Free online kg to stone converter with a table of common conversions.,2026-03-11,2026-03-11
oz-to-grams,Oz to Grams Converter,converters,3,Convert ounces to grams quickly and easily. Free oz to g converter with common conversion values.,2026-03-11,2026-03-11
grams-to-oz,Grams to Oz Converter,converters,3,Convert grams to ounces with our free converter. Reference table of common grams to oz conversions included.,2026-03-11,2026-03-11
celsius-to-fahrenheit,Celsius to Fahrenheit Converter,converters,3,Convert Celsius to Fahrenheit instantly. Free °C to °F converter with common temperature reference table.,2026-03-11,2026-03-11
fahrenheit-to-celsius,Fahrenheit to Celsius Converter,converters,3,Convert Fahrenheit to Celsius quickly. Free °F to °C converter with common temperature conversions.,2026-03-11,2026-03-11
cm-to-inches,Cm to Inches Converter,converters,3,Convert centimetres to inches with our free tool. Includes a reference table of common cm to inch conversions.,2026-03-11,2026-03-11
inches-to-cm,Inches to Cm Converter,converters,3,Convert inches to centimetres instantly. Free online inches to cm converter with common conversion values.,2026-03-11,2026-03-11
feet-to-metres,Feet to Metres Converter,converters,3,Convert feet to metres with our free converter. Quick reference table of common feet to metre conversions.,2026-03-11,2026-03-11
metres-to-feet,Metres to Feet Converter,converters,3,Convert metres to feet instantly. Free online metres to feet converter with handy reference table.,2026-03-11,2026-03-11
